"PPEE"	"PPDE"	"PostFC"	"RealFC"
"ENSG00000264577_AC010761.1"	0.782478700848262	0.217521299151738	0.648227891217479	0.647260224179181
"ENSG00000235501_AC105942.1"	0.786333853540697	0.213666146459303	0.439284618984164	0.429202437301392
"ENSG00000123064_DDX54"	0.788486227064369	0.211513772935631	1.16694968770138	1.16708826497286
"ENSG00000262251_AC087388.1"	0.798096380179493	0.201903619820507	0.304782261183937	0.276171925208119
"ENSG00000204394_VARS"	0.799297288057118	0.200702711942882	1.24178230630135	1.24188899575217
"ENSG00000138448_ITGAV"	0.80090419045778	0.19909580954222	0.900763413779574	0.900755140501317
"ENSG00000259976_AC093010.3"	0.80216437845874	0.19783562154126	0.581784146863167	0.579693029668279
"ENSG00000103966_EHD4"	0.804637692277769	0.195362307722231	1.09655444215296	1.09657174604198
"ENSG00000215769_ARHGAP27P1-BPTFP1-KPNA2P3"	0.805283145637622	0.194716854362378	0.679476635428905	0.678199975904091
"ENSG00000141985_SH3GL1"	0.80560570826483	0.19439429173517	1.14943996166259	1.14949425975781
"ENSG00000131503_ANKHD1"	0.812234267358148	0.187765732641852	0.806630673392967	0.806485988892856
"ENSG00000172058_SERF1A"	0.82996617874713	0.17003382125287	0.271799124446385	0.260951490379864
"ENSG00000175727_MLXIP"	0.831760674928413	0.168239325071587	1.15933374524939	1.15938103790171
"ENSG00000148411_NACC2"	0.841270378381568	0.158729621618432	1.22354815973372	1.22370993398509
"ENSG00000127603_MACF1"	0.842354662390014	0.157645337609986	0.749366426081613	0.749341790163686
"ENSG00000272540_AL662797.3"	0.847652976309646	0.152347023690354	1.10691821333889	1.10695261802397
"ENSG00000155090_KLF10"	0.850531956792958	0.149468043207042	0.747895121912502	0.747674236636693
"ENSG00000138688_KIAA1109"	0.851005509981626	0.148994490018374	0.787551789594054	0.787430392288912
"ENSG00000259040_BLOC1S5-TXNDC5"	0.857793366952015	0.142206633047985	0.281662651735283	0.274790309262071
"ENSG00000204262_COL5A2"	0.860961589811938	0.139038410188062	0.870656917951304	0.870640228139708
"ENSG00000134824_FADS2"	0.86118153506296	0.13881846493704	1.14345734759015	1.14349481103408
"ENSG00000129932_DOHH"	0.861409083044806	0.138590916955194	1.44991495847619	1.45224019311668
"ENSG00000203709_C1orf132"	0.865849051295868	0.134150948704132	0.482943080445877	0.477241004943597
"ENSG00000116649_SRM"	0.868317693404361	0.131682306595639	1.16746357713119	1.16756067449837
"ENSG00000283293_RN7SK"	0.870500022306058	0.129499977693942	0.441996232014639	0.431062855201417
"ENSG00000125912_NCLN"	0.870763804897462	0.129236195102538	1.26589195610427	1.26605603650313
"ENSG00000185122_HSF1"	0.872077969461288	0.127922030538712	1.14593554224667	1.1460353633424
"ENSG00000125503_PPP1R12C"	0.876836435002931	0.123163564997069	1.13655226326528	1.13664011180963
"ENSG00000141696_P3H4"	0.878546401064485	0.121453598935515	1.16290811562398	1.16305430566486
"ENSG00000137267_TUBB2A"	0.883698636962423	0.116301363037577	1.18771952987862	1.18794638084515
"ENSG00000150938_CRIM1"	0.896924373282993	0.103075626717007	1.05161767078694	1.05161996805404
"ENSG00000157637_SLC38A10"	0.900580802553126	0.0994191974468735	1.13041367340417	1.13046501660813
"ENSG00000120896_SORBS3"	0.90343996468871	0.0965600353112897	1.12858859207299	1.12865281042572
"ENSG00000137409_MTCH1"	0.903787287486727	0.0962127125132729	1.09305233384391	1.0930763984337
"ENSG00000151176_PLBD2"	0.904712894990255	0.0952871050097451	1.2594540286784	1.25952517045603
"ENSG00000180139_ACTA2-AS1"	0.909413695391213	0.0905863046087873	0.617459436855887	0.61439709682869
"ENSG00000205236_AC105052.1"	0.909897919644072	0.0901020803559283	3.19252202409767	3.49184711552979
"ENSG00000106628_POLD2"	0.910353143876497	0.0896468561235029	1.14765317533436	1.14776068887029
"ENSG00000213719_CLIC1"	0.910915821388406	0.0890841786115941	1.06846203135554	1.06847251650622
"ENSG00000177200_CHD9"	0.911729097204981	0.0882709027950194	0.84216391824198	0.842019034659552
"ENSG00000125817_CENPB"	0.911894552866685	0.0881054471333149	1.17426793648045	1.17439096555229
"ENSG00000135862_LAMC1"	0.918828334632897	0.0811716653671027	0.931531743191414	0.931528139720359
"ENSG00000135624_CCT7"	0.920324135358859	0.0796758646411408	1.08878563190701	1.08880249969454
"ENSG00000047410_TPR"	0.921636768683788	0.0783632313162121	0.891485714874344	0.891452178260083
"ENSG00000102780_DGKH"	0.921923815716951	0.0780761842830494	0.782243257830335	0.781977897165514
"ENSG00000184216_IRAK1"	0.923102260141715	0.0768977398582849	1.20315764522686	1.20323734741954
"ENSG00000023191_RNH1"	0.925696783126656	0.0743032168733439	1.13029571165887	1.13033568298229
"ENSG00000213024_NUP62"	0.926081394474686	0.073918605525314	1.15188647658507	1.15199600762263
"ENSG00000142186_SCYL1"	0.927711649601978	0.0722883503980224	1.14267432568146	1.14277267737512
"ENSG00000161955_TNFSF13"	0.928035759773988	0.0719642402260125	1.74555605079387	1.75890040748114
