	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000008282_SYPL1"	1580.00	1368.00	1681.00	1616.00
"ENSG00000008283_CYB561"	548.00	451.00	467.00	549.00
"ENSG00000008294_SPAG9"	1339.00	1052.00	1263.00	1429.00
"ENSG00000008300_CELSR3"	36.00	22.00	31.00	30.00
"ENSG00000008311_AASS"	222.00	214.00	277.00	257.00
"ENSG00000008323_PLEKHG6"	1.00	3.00	5.00	1.00
"ENSG00000008324_SS18L2"	98.00	92.00	102.00	119.00
"ENSG00000008382_MPND"	77.00	126.00	95.00	110.00
"ENSG00000008394_MGST1"	1340.00	1029.00	1283.00	1279.00
"ENSG00000008405_CRY1"	256.00	261.00	290.00	316.00
"ENSG00000008438_PGLYRP1"	0.00	0.00	0.00	0.00
"ENSG00000008441_NFIX"	730.00	756.00	597.00	778.00
"ENSG00000008513_ST3GAL1"	1516.00	1097.00	1188.00	1389.00
"ENSG00000008516_MMP25"	11.00	9.00	10.00	12.00
"ENSG00000008517_IL32"	2258.00	1331.00	1739.00	2122.00
"ENSG00000008710_PKD1"	829.39	730.81	654.27	865.69
"ENSG00000008735_MAPK8IP2"	4.00	1.00	1.00	5.00
"ENSG00000008838_MED24"	1140.00	943.00	993.00	1223.00
"ENSG00000008853_RHOBTB2"	294.00	317.00	278.00	332.00
"ENSG00000008869_HEATR5B"	507.00	470.00	521.00	587.00
"ENSG00000008952_SEC62"	1467.00	1331.00	1589.00	1668.00
"ENSG00000008988_RPS20"	4762.00	4778.00	5790.00	5905.00
"ENSG00000009307_CSDE1"	7183.00	6561.00	7225.00	8260.00
"ENSG00000009335_UBE3C"	2042.00	1808.00	1801.00	2139.00
"ENSG00000009413_REV3L"	736.00	884.00	881.00	951.00
"ENSG00000009694_TENM1"	0.00	0.00	0.00	0.00
"ENSG00000009709_PAX7"	0.00	0.00	0.00	0.00
"ENSG00000009724_MASP2"	3.00	6.00	8.00	5.00
"ENSG00000009765_IYD"	0.00	0.00	0.00	0.00
"ENSG00000009780_FAM76A"	76.00	60.00	69.00	62.00
"ENSG00000009790_TRAF3IP3"	9.00	14.00	14.00	12.00
"ENSG00000009830_POMT2"	385.00	303.00	345.00	386.00
"ENSG00000009844_VTA1"	709.00	596.00	765.00	735.00
"ENSG00000009950_MLXIPL"	0.00	0.00	0.00	0.00
"ENSG00000009954_BAZ1B"	1351.00	1370.00	1306.00	1581.00
"ENSG00000010017_RANBP9"	488.00	506.00	516.00	582.00
"ENSG00000010030_ETV7"	11.00	5.00	10.00	19.00
"ENSG00000010072_SPRTN"	240.00	206.00	242.00	246.00
"ENSG00000010165_METTL13"	422.00	395.00	377.00	461.00
"ENSG00000010219_DYRK4"	274.00	265.00	237.93	318.50
"ENSG00000010244_ZNF207"	1708.00	1573.94	1857.00	1963.00
"ENSG00000010256_UQCRC1"	1319.00	1176.00	1116.00	1351.00
"ENSG00000010270_STARD3NL"	722.00	620.00	739.00	788.00
"ENSG00000010278_CD9"	12079.00	12071.00	10990.00	12490.00
"ENSG00000010282_HHATL"	1.00	0.00	0.00	0.00
"ENSG00000010292_NCAPD2"	636.00	605.00	557.00	721.00
"ENSG00000010295_IFFO1"	463.00	307.00	416.00	442.00
"ENSG00000010310_GIPR"	0.00	0.00	0.00	0.00
"ENSG00000010318_PHF7"	28.00	36.00	31.00	28.00
"ENSG00000010319_SEMA3G"	14.00	24.00	14.00	21.00
"ENSG00000010322_NISCH"	1677.00	1433.00	1566.00	1830.00
"ENSG00000010327_STAB1"	6143.00	5620.00	6088.00	6587.00
"ENSG00000010361_FUZ"	94.00	127.00	106.00	136.00
"ENSG00000010379_SLC6A13"	0.00	0.00	1.00	0.00
