	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000230224_PHBP9"	3.00	2.00	1.00	2.00
"ENSG00000230225_MTND5P14"	0.00	0.00	0.00	0.00
"ENSG00000230226_AL121829.1"	0.00	0.00	0.00	0.00
"ENSG00000230227_SIAH1P1"	0.00	0.00	0.00	0.00
"ENSG00000230228_AL590609.2"	0.00	0.00	0.00	0.00
"ENSG00000230229_AC010163.2"	0.00	0.00	0.00	0.00
"ENSG00000230231_FMO7P"	0.00	0.00	0.00	0.00
"ENSG00000230233_AF240627.1"	0.00	0.00	0.00	0.00
"ENSG00000230234_AL162582.1"	0.00	0.00	0.00	0.00
"ENSG00000230237_AC010975.2"	0.00	0.00	0.00	0.00
"ENSG00000230239_BX284668.3"	0.00	0.00	0.00	0.00
"ENSG00000230240_RPL34P19"	0.00	0.00	0.00	0.00
"ENSG00000230241_AC244636.1"	0.00	0.00	0.00	0.00
"ENSG00000230243_FKBP1AP3"	0.00	0.00	0.00	0.00
"ENSG00000230244_RAD23BP2"	0.00	0.00	0.00	0.00
"ENSG00000230245_BX088651.3"	0.00	0.00	0.00	0.00
"ENSG00000230246_SPATA31C1"	0.00	0.00	0.00	0.00
"ENSG00000230247_HNRNPH3P1"	0.00	0.00	0.00	0.00
"ENSG00000230248_Z98742.1"	0.00	0.00	0.00	0.00
"ENSG00000230249_AC112653.1"	0.00	0.00	0.00	0.00
"ENSG00000230250_LINC01753"	0.00	0.00	0.00	0.00
"ENSG00000230251_PHBP4"	0.00	0.00	0.00	0.00
"ENSG00000230252_MTND2P4"	0.00	0.00	0.00	0.00
"ENSG00000230256_FGFR1OP2P1"	0.00	0.00	0.00	0.00
"ENSG00000230257_NFE4"	75.00	59.00	77.00	74.00
"ENSG00000230258_AC005208.1"	0.00	0.00	0.00	0.00
"ENSG00000230260_AL136322.1"	0.00	0.00	0.00	0.00
"ENSG00000230261_OR52J2P"	0.00	0.00	0.00	0.00
"ENSG00000230262_MIRLET7DHG"	14.00	8.00	14.00	4.00
"ENSG00000230265_AC079178.1"	0.00	0.00	0.00	0.00
"ENSG00000230266_XXYLT1-AS2"	51.00	31.00	39.00	40.00
"ENSG00000230267_HERC2P4"	5.00	4.00	3.00	4.00
"ENSG00000230268_SSU72P8"	0.00	0.00	0.00	0.00
"ENSG00000230269_LINC02525"	0.00	0.00	0.00	0.00
"ENSG00000230271_AC023141.5"	0.00	0.00	0.00	0.00
"ENSG00000230273_AC087163.1"	0.00	0.00	0.00	0.00
"ENSG00000230274_PGAM1P3"	0.00	0.00	0.00	0.00
"ENSG00000230275_SERBP1P4"	0.00	0.00	0.00	0.00
"ENSG00000230276_AL162388.1"	0.00	0.00	0.00	0.00
"ENSG00000230280_HNRNPA1P59"	11.00	2.00	5.00	5.00
"ENSG00000230282_RPL7P61"	0.00	0.00	0.00	0.00
"ENSG00000230283_RPS12P24"	0.00	0.00	0.00	0.00
"ENSG00000230284_AL160275.2"	0.00	0.00	0.00	0.00
"ENSG00000230285_AC092807.1"	0.00	0.00	0.00	0.00
"ENSG00000230286_AC013472.2"	0.00	0.00	0.00	0.00
"ENSG00000230287_AL445928.1"	0.00	0.00	0.00	0.00
"ENSG00000230289_AL358781.2"	0.00	0.00	0.00	0.00
"ENSG00000230290_ARMC2-AS1"	0.00	0.00	0.00	0.00
"ENSG00000230291_AC078817.1"	0.00	0.00	0.00	0.00
"ENSG00000230292_NAALADL2-AS3"	0.00	0.00	0.00	0.00
"ENSG00000230294_LINC02370"	0.00	0.00	0.00	0.00
"ENSG00000230295_GTF2IP23"	1.00	0.00	0.00	0.00
"ENSG00000230298_AL590068.2"	0.00	0.00	0.00	0.00
"ENSG00000230299_AC093162.1"	0.00	0.00	0.00	0.00
"ENSG00000230300_STARD13-IT1"	0.00	0.00	0.00	0.00
"ENSG00000230301_OR5H6"	0.00	0.00	0.00	0.00
"ENSG00000230302_MTND3P4"	0.00	0.00	0.00	0.00
"ENSG00000230303_AL353743.2"	0.00	0.00	0.00	0.00
"ENSG00000230304_CICP6"	0.00	0.00	0.00	0.00
"ENSG00000230305_AC004980.3"	0.00	0.00	0.00	0.00
"ENSG00000230306_BANF1P2"	0.00	0.00	0.00	0.00
"ENSG00000230307_OR6C5P"	0.00	0.00	0.00	0.00
"ENSG00000230309_AL121718.1"	0.00	4.00	2.00	3.00
"ENSG00000230310_AC010422.1"	0.00	0.00	0.00	0.00
"ENSG00000230311_TOMM20P4"	0.00	2.00	0.00	2.25
"ENSG00000230312_AC234782.1"	0.00	1.00	2.00	2.00
"ENSG00000230313_HCG24"	0.00	0.00	0.00	0.00
"ENSG00000230314_ELOVL2-AS1"	0.00	0.00	0.00	0.00
"ENSG00000230316_FEZF1-AS1"	0.00	0.00	0.00	0.00
"ENSG00000230317_LINC01284"	0.00	0.00	0.00	0.00
"ENSG00000230318_XRCC6P3"	0.00	0.00	0.00	0.00
"ENSG00000230319_AL022476.1"	10.00	7.00	7.00	7.00
"ENSG00000230320_BEND7P1"	0.00	0.00	0.00	0.00
"ENSG00000230321_MTCO2P27"	0.00	0.00	0.00	0.00
"ENSG00000230322_AL136320.1"	0.00	0.00	0.00	0.00
"ENSG00000230323_LINC00159"	0.00	0.00	0.00	0.00
"ENSG00000230324_LINC01734"	0.00	0.00	0.00	0.00
"ENSG00000230325_AL359921.1"	4.12	0.00	5.07	6.00
"ENSG00000230326_HMGN1P33"	0.00	0.00	0.00	0.00
"ENSG00000230327_MTCO1P42"	0.00	0.00	0.00	0.00
"ENSG00000230328_AL359893.1"	0.00	0.00	1.00	0.00
"ENSG00000230330_HMGN2P3"	0.00	0.00	0.00	1.01
"ENSG00000230331_AL160004.2"	0.00	0.00	0.00	0.00
"ENSG00000230333_AC004160.1"	1.00	1.00	3.00	6.00
"ENSG00000230335_DNAJB5P1"	0.00	0.00	0.00	0.00
"ENSG00000230337_AL109811.2"	2.00	2.00	2.00	0.00
"ENSG00000230338_MTND4P19"	0.00	0.00	0.00	0.00
"ENSG00000230339_AC015818.1"	0.00	0.00	0.00	0.00
"ENSG00000230342_FANCD2P2"	0.00	0.00	0.00	2.08
"ENSG00000230343_AC018892.1"	0.00	0.00	0.00	0.00
"ENSG00000230345_AL121580.1"	0.00	0.00	0.00	0.00
"ENSG00000230347_CT47A8"	0.00	0.00	0.00	0.00
"ENSG00000230350_RPL35AP3"	0.00	0.00	0.00	0.00
"ENSG00000230352_AL035250.2"	0.00	0.00	0.00	0.00
"ENSG00000230353_AC114755.3"	0.00	0.00	0.00	0.00
"ENSG00000230355_AC009474.2"	0.00	0.00	0.00	0.00
"ENSG00000230356_NCAPD2P1"	0.00	0.00	0.00	0.00
"ENSG00000230358_SPDYE21P"	1.00	0.00	0.00	1.00
"ENSG00000230359_TPI1P2"	0.00	2.00	2.00	5.00
"ENSG00000230360_DDX10P2"	0.00	0.00	0.00	0.00
"ENSG00000230361_VN1R32P"	0.00	0.00	0.00	0.00
"ENSG00000230362_ACTG1P23"	0.00	0.00	0.00	0.00
"ENSG00000230364_RPL4P3"	0.00	0.00	0.00	0.00
"ENSG00000230365_AL451129.1"	0.00	0.00	0.00	0.00
"ENSG00000230366_DSCR9"	4.00	0.00	2.00	1.00
"ENSG00000230368_FAM41C"	1.65	2.56	1.00	0.00
"ENSG00000230370_RPL23AP52"	0.00	0.00	0.00	0.00
"ENSG00000230371_KARSP2"	0.00	0.00	0.00	0.00
"ENSG00000230372_AL133268.4"	0.00	0.00	0.00	0.00
"ENSG00000230373_GOLGA6L5P"	123.76	73.56	123.27	129.26
"ENSG00000230375_GSTA11P"	0.00	0.00	0.00	0.00
"ENSG00000230376_MEMO1P4"	0.00	0.00	0.00	0.00
"ENSG00000230377_ELOCP7"	0.00	0.00	0.00	0.00
"ENSG00000230379_AP000146.1"	0.00	0.00	0.00	0.00
"ENSG00000230381_AL136376.1"	0.00	0.00	0.00	0.00
"ENSG00000230383_AC009245.1"	5.74	4.39	4.69	3.17
"ENSG00000230384_RPSAP25"	0.00	0.00	0.00	0.00
"ENSG00000230385_AC012507.1"	0.00	0.00	0.00	0.00
"ENSG00000230386_AC104057.1"	0.00	0.00	0.00	0.00
"ENSG00000230387_AL118508.1"	0.00	1.00	0.00	0.00
"ENSG00000230390_LINC01048"	0.00	0.00	0.00	0.00
"ENSG00000230391_RPSAP23"	0.00	0.00	0.00	0.00
"ENSG00000230392_AC004835.1"	0.00	0.00	0.00	0.00
"ENSG00000230393_AC092667.1"	0.00	0.00	0.00	0.00
"ENSG00000230394_AC078960.1"	0.00	0.00	0.00	0.00
"ENSG00000230395_AC092651.1"	0.00	0.00	0.00	0.00
"ENSG00000230397_SPTLC1P1"	0.00	1.14	2.84	1.15
"ENSG00000230398_HINT2P1"	0.00	0.00	0.00	0.00
"ENSG00000230399_RBBP8P1"	0.00	0.00	0.00	0.00
"ENSG00000230400_LINC01747"	1.00	7.00	9.00	6.00
"ENSG00000230401_LINC01972"	0.00	0.00	0.00	0.00
"ENSG00000230402_LINC01349"	0.00	0.00	0.00	0.00
"ENSG00000230403_LINC01066"	0.00	0.00	0.00	0.00
"ENSG00000230404_AL161640.1"	0.00	0.00	0.00	0.00
"ENSG00000230405_RPS3AP52"	0.00	0.00	0.00	0.00
"ENSG00000230406_AC079834.1"	0.00	0.00	0.00	0.00
"ENSG00000230407_AC018717.1"	0.00	0.00	0.00	0.00
"ENSG00000230408_AC007163.1"	2.00	2.00	0.00	2.00
"ENSG00000230409_TCEA1P2"	2.26	10.50	16.09	8.29
"ENSG00000230411_OR3D1P"	0.00	0.00	0.00	0.00
"ENSG00000230412_ELOCP12"	0.00	0.00	0.00	0.00
"ENSG00000230415_LINC01786"	3.00	3.00	2.00	2.00
"ENSG00000230416_OR5M4P"	0.00	0.00	0.00	0.00
"ENSG00000230417_LINC00595"	1.00	0.00	1.00	0.00
"ENSG00000230418_ARL2BPP7"	0.00	0.00	0.00	0.00
"ENSG00000230423_AL731684.2"	0.00	0.09	0.00	0.86
"ENSG00000230424_AL035413.1"	9.00	5.00	12.00	5.00
"ENSG00000230425_RSU1P1"	0.00	0.00	0.00	0.00
"ENSG00000230426_ERVMER61-1"	0.00	0.00	0.00	0.00
"ENSG00000230427_AC095033.1"	0.00	0.00	0.00	0.00
"ENSG00000230428_AL049542.1"	0.00	0.00	0.00	0.00
"ENSG00000230430_USP17L25"	0.00	0.00	0.00	0.00
"ENSG00000230432_AC114803.1"	0.00	0.00	0.00	0.00
"ENSG00000230433_AL031770.1"	0.00	0.00	0.00	0.00
"ENSG00000230434_LINC01650"	0.00	0.00	0.00	0.00
"ENSG00000230435_AC004160.2"	0.00	0.00	0.00	0.00
"ENSG00000230437_AL136460.1"	0.00	0.00	0.00	0.00
"ENSG00000230438_SERPINB9P1"	102.00	128.00	106.00	148.00
"ENSG00000230439_AL512488.1"	1.00	2.00	0.00	5.00
"ENSG00000230440_AL391119.1"	0.00	0.00	0.00	0.00
"ENSG00000230442_AC006333.1"	0.00	0.00	0.00	0.00
"ENSG00000230444_TFAMP1"	0.00	0.00	0.00	0.00
"ENSG00000230445_LRRC37A6P"	0.00	2.00	0.00	0.00
"ENSG00000230447_CTF2P"	0.00	0.00	0.00	0.00
"ENSG00000230448_LINC00276"	0.00	0.00	0.00	0.00
"ENSG00000230449_RPL7P4"	0.00	0.00	0.00	0.00
"ENSG00000230450_NEK2P4"	0.00	0.00	0.00	0.00
"ENSG00000230451_RPS29P6"	0.00	0.00	0.00	0.00
"ENSG00000230452_LINC01381"	0.00	0.00	0.00	0.00
"ENSG00000230453_ANKRD18B"	39.66	28.87	29.97	43.09
"ENSG00000230454_U73166.1"	0.00	3.00	0.00	0.00
"ENSG00000230457_PA2G4P4"	5.00	3.00	1.00	2.00
"ENSG00000230458_GPM6BP1"	0.00	0.00	0.00	0.00
"ENSG00000230459_AC060773.1"	0.00	0.00	0.00	0.00
"ENSG00000230461_PROX1-AS1"	1.00	1.00	1.00	1.00
"ENSG00000230465_VENTXP4"	0.00	0.00	0.00	0.00
"ENSG00000230468_CLUHP5"	0.00	0.00	0.00	0.00
"ENSG00000230469_RPL5P26"	0.00	0.00	0.00	0.00
"ENSG00000230470_AL078645.1"	0.00	0.00	0.00	0.00
"ENSG00000230471_AP000532.2"	0.00	0.00	0.00	0.00
"ENSG00000230472_AL135908.1"	0.00	0.00	0.00	0.00
"ENSG00000230474_ATP6V1G1P7"	0.00	0.00	0.00	0.00
"ENSG00000230476_OFD1P9Y"	0.00	0.00	0.00	0.00
"ENSG00000230477_AC005034.1"	0.00	0.00	0.00	0.00
"ENSG00000230478_Z96811.1"	0.00	0.00	0.00	0.00
"ENSG00000230479_AP000695.1"	52.00	65.00	56.00	72.00
"ENSG00000230480_AC093142.1"	0.00	0.00	0.00	0.00
"ENSG00000230481_IGKV1OR22-5"	0.00	0.00	0.00	0.00
"ENSG00000230482_ATP5G2P3"	0.00	0.00	0.00	0.00
"ENSG00000230483_AC124057.1"	0.00	0.00	0.00	0.00
"ENSG00000230484_OR51A10P"	0.00	0.00	0.00	0.00
"ENSG00000230485_AC000077.1"	0.00	0.00	0.00	0.00
"ENSG00000230487_PSMG3-AS1"	38.00	36.00	25.00	48.00
"ENSG00000230489_VAV3-AS1"	0.00	0.00	0.00	0.00
"ENSG00000230490_AL139383.1"	0.00	0.00	1.00	2.00
"ENSG00000230491_AC234781.4"	0.00	0.00	0.00	0.00
"ENSG00000230492_AL049651.1"	0.00	0.00	0.00	0.00
"ENSG00000230495_AL132765.1"	0.00	0.00	1.00	1.00
"ENSG00000230496_MTCO2P7"	0.00	0.00	0.00	0.00
"ENSG00000230497_EEF1B2P8"	0.00	0.00	0.00	0.00
"ENSG00000230498_AL035409.1"	0.00	0.00	0.00	0.00
"ENSG00000230499_AC108463.2"	3.00	2.00	2.00	1.00
"ENSG00000230500_MKX-AS1"	0.00	0.00	0.00	0.00
"ENSG00000230501_ANKRD30BP3"	0.00	0.00	0.00	0.00
"ENSG00000230502_AL953862.1"	0.00	0.00	0.00	0.00
"ENSG00000230506_AL354824.1"	0.00	0.00	0.00	0.00
"ENSG00000230507_RPL7AP8"	0.00	0.00	0.00	0.00
"ENSG00000230508_RPL19P21"	0.00	0.00	0.00	0.00
"ENSG00000230510_PPP5D1"	3.00	0.00	1.00	2.00
"ENSG00000230513_THAP7-AS1"	10.00	7.00	4.00	14.00
"ENSG00000230515_AC092580.2"	0.00	0.00	0.00	0.00
"ENSG00000230516_AL589642.2"	0.00	0.00	0.00	0.00
"ENSG00000230519_HMGB1P49"	0.00	0.00	1.00	0.00
"ENSG00000230520_AC092098.1"	0.00	0.00	0.00	0.00
"ENSG00000230521_AL645929.1"	1.00	0.00	3.00	0.00
"ENSG00000230522_MBD3L2"	0.00	0.00	0.00	0.00
"ENSG00000230523_LINC01756"	0.00	0.00	0.00	0.00
"ENSG00000230524_COL6A4P1"	0.00	0.00	0.00	0.00
"ENSG00000230525_LINC01799"	0.00	0.00	0.00	0.00
"ENSG00000230526_AC073370.1"	0.00	0.00	0.00	0.00
"ENSG00000230528_NOS2P3"	0.00	0.00	0.00	0.00
"ENSG00000230529_CEACAMP9"	0.00	0.00	0.00	0.00
"ENSG00000230530_LIMD1-AS1"	92.00	72.00	75.00	97.00
"ENSG00000230531_MTND5P7"	0.00	0.00	0.00	0.00
"ENSG00000230532_AC091133.1"	0.00	0.00	2.00	0.00
"ENSG00000230533_AL357060.1"	0.00	0.00	0.00	0.00
"ENSG00000230534_AL392046.1"	1.00	1.00	2.00	0.00
"ENSG00000230535_BASP1P1"	0.00	0.00	0.00	0.00
"ENSG00000230536_AL360268.1"	0.00	0.00	0.00	0.00
"ENSG00000230537_AL158071.2"	0.00	0.00	0.00	0.00
"ENSG00000230538_Z82209.1"	0.00	0.00	0.00	0.00
"ENSG00000230539_AOAH-IT1"	0.00	0.00	0.00	0.00
"ENSG00000230542_LINC00102"	0.00	0.00	1.00	0.00
"ENSG00000230543_SNX3P1X"	0.00	0.00	0.00	0.00
"ENSG00000230546_AL445193.1"	0.00	0.00	0.00	0.00
"ENSG00000230547_HMGB1P11"	0.00	0.00	0.00	0.00
"ENSG00000230548_MTND4P27"	0.00	0.00	0.00	0.00
"ENSG00000230549_USP17L1"	0.00	0.00	0.00	0.00
"ENSG00000230550_AL592146.1"	1.00	0.00	0.00	1.00
"ENSG00000230551_AC021078.1"	434.36	264.30	515.17	440.16
"ENSG00000230552_AC092162.2"	0.00	0.00	0.00	0.00
"ENSG00000230555_AL450326.1"	15.00	11.00	7.00	11.00
"ENSG00000230556_AC073264.2"	0.00	0.00	0.00	0.00
"ENSG00000230558_CEACAMP2"	0.00	0.00	0.00	0.00
"ENSG00000230559_RPL17P12"	0.00	0.00	0.00	0.00
"ENSG00000230561_CCDC192"	0.00	0.00	1.00	2.00
"ENSG00000230562_FAM133DP"	0.00	2.39	1.24	0.00
"ENSG00000230563_AL121757.1"	0.00	1.20	0.00	0.00
"ENSG00000230564_CALM1P2"	0.00	0.00	0.00	0.00
"ENSG00000230565_ZNF32-AS2"	4.00	2.00	2.00	2.00
"ENSG00000230568_SF3A3P1"	0.00	0.00	0.00	1.00
"ENSG00000230569_AC114763.2"	0.00	0.00	0.00	0.00
"ENSG00000230570_AL139095.3"	0.00	0.00	0.00	0.00
"ENSG00000230571_AC113347.1"	0.00	0.00	0.00	0.00
"ENSG00000230572_AC027612.2"	0.00	0.00	0.00	0.00
"ENSG00000230573_AL513303.2"	0.00	0.00	0.00	0.00
"ENSG00000230575_AC013286.1"	0.00	0.00	0.00	0.00
"ENSG00000230576_OR6R1P"	0.00	0.00	0.00	0.00
"ENSG00000230578_AC234781.5"	0.00	0.00	2.09	2.52
"ENSG00000230580_AC021016.1"	0.00	0.00	0.00	0.00
"ENSG00000230581_ACTG1P14"	0.00	0.00	0.00	0.00
"ENSG00000230583_GTF2IRD1P1"	57.00	51.00	57.00	55.00
"ENSG00000230584_CCT5P2"	0.00	0.00	0.00	0.00
"ENSG00000230585_PHBP12"	1.00	0.00	0.00	0.00
"ENSG00000230587_AC093609.1"	0.00	0.00	0.00	0.00
"ENSG00000230589_IMP3P1"	0.00	0.00	0.00	0.00
"ENSG00000230590_FTX"	268.00	276.00	346.00	336.00
"ENSG00000230592_RPSAP8"	0.00	0.00	1.00	0.00
"ENSG00000230593_AC090804.1"	0.00	0.00	0.00	1.00
"ENSG00000230594_CT47A4"	0.00	0.00	0.00	0.00
"ENSG00000230595_RSL24D1P2"	0.00	0.00	0.00	0.00
"ENSG00000230596_GPAA1P2"	9.17	5.49	18.17	10.36
"ENSG00000230597_AL136164.1"	0.00	0.00	0.00	0.00
"ENSG00000230598_AL645937.5"	0.00	0.00	0.00	0.00
"ENSG00000230599_AC018495.1"	0.00	0.00	0.00	0.00
"ENSG00000230600_AC073188.3"	0.00	0.00	0.00	0.00
"ENSG00000230601_TEX48"	0.00	0.00	0.00	0.00
"ENSG00000230603_AC011753.1"	0.00	0.00	0.00	0.00
"ENSG00000230604_TSEN15P2"	0.00	0.00	0.00	0.00
"ENSG00000230605_MTCYBP6"	0.00	0.00	0.00	0.00
"ENSG00000230606_AC092683.1"	88.52	72.36	138.91	107.64
"ENSG00000230607_AC005722.1"	0.00	0.00	0.00	0.00
"ENSG00000230609_AL513185.2"	0.00	0.00	0.00	0.00
"ENSG00000230611_HMGB1P27"	0.00	0.00	0.00	0.00
"ENSG00000230612_AC004039.1"	0.00	0.00	0.00	0.00
"ENSG00000230613_HM13-AS1"	1.00	1.00	1.00	3.00
"ENSG00000230614_DYNLL1P7"	0.00	0.00	0.00	0.00
"ENSG00000230615_AL139220.2"	1.00	2.00	2.00	1.00
"ENSG00000230617_AC079987.1"	0.00	0.00	0.00	0.00
"ENSG00000230618_H3F3AP3"	0.00	0.00	0.00	0.00
"ENSG00000230621_AC068138.1"	0.00	0.00	0.00	0.00
"ENSG00000230622_UQCRHP1"	0.00	0.00	0.00	0.00
"ENSG00000230623_AC104461.1"	0.00	0.00	0.00	0.00
"ENSG00000230626_AC011005.1"	1.02	0.00	1.01	1.01
"ENSG00000230627_Z97205.1"	0.00	0.00	0.00	0.00
"ENSG00000230628_AL160408.3"	0.00	0.00	0.00	0.00
"ENSG00000230629_RPS23P8"	22.72	21.20	18.60	31.38
"ENSG00000230630_DNM3OS"	24.00	12.00	24.00	19.00
"ENSG00000230631_AL353152.1"	0.00	0.00	0.00	0.00
"ENSG00000230634_AL031597.1"	0.00	0.00	0.00	0.00
"ENSG00000230635_CYP4F60P"	0.00	0.00	0.00	0.00
"ENSG00000230636_RPL36P1"	0.00	0.00	0.00	0.00
"ENSG00000230637_AL022324.1"	0.00	0.00	0.00	0.00
"ENSG00000230638_AL445933.1"	0.00	0.00	2.00	1.00
"ENSG00000230639_VN1R36P"	0.00	0.00	0.00	0.00
"ENSG00000230641_USP12-AS2"	0.00	0.00	1.00	0.00
"ENSG00000230643_AP000533.3"	0.00	0.00	0.00	0.00
"ENSG00000230645_LINC01818"	0.00	0.00	0.00	0.00
"ENSG00000230646_KLF2P2"	0.00	0.00	0.00	0.00
"ENSG00000230647_AC022816.1"	0.00	0.00	0.00	0.00
"ENSG00000230648_AL138831.1"	1.00	0.00	0.00	0.00
"ENSG00000230649_AC024084.1"	0.00	0.00	0.00	0.00
"ENSG00000230650_AC140479.2"	0.00	6.10	6.00	6.47
"ENSG00000230651_RGPD4-AS1"	0.00	0.00	0.00	0.00
"ENSG00000230654_MTCO2P25"	0.00	0.00	0.00	0.00
"ENSG00000230655_AC139453.1"	0.00	0.00	0.00	0.00
"ENSG00000230657_PRB4"	0.00	0.00	0.00	0.00
"ENSG00000230658_KLHL7-AS1"	4.00	8.00	7.00	3.00
"ENSG00000230659_AL451074.5"	0.00	0.00	0.00	0.00
"ENSG00000230661_YY1P1"	0.00	0.00	0.00	0.00
"ENSG00000230662_TNPO1P2"	0.00	0.00	0.00	0.00
"ENSG00000230663_FAM224B"	0.10	1.00	0.06	0.00
"ENSG00000230665_THAP12P1"	0.00	0.00	0.00	0.00
"ENSG00000230666_CEACAM22P"	2.00	0.00	0.00	1.00
"ENSG00000230667_SETSIP"	0.00	1.00	0.00	0.00
"ENSG00000230668_AL844175.1"	0.00	0.00	0.00	0.00
"ENSG00000230671_NDUFS5P5"	0.00	0.00	0.00	0.00
"ENSG00000230673_PABPC1P3"	1.00	0.00	0.00	0.00
"ENSG00000230676_AL353803.2"	0.00	0.00	0.00	0.00
"ENSG00000230679_ENO1-AS1"	1.00	0.00	1.00	1.00
"ENSG00000230680_AC004869.1"	0.00	0.00	0.00	0.00
"ENSG00000230681_CEACAMP4"	0.00	0.00	0.00	0.00
"ENSG00000230682_GRPEL2P3"	0.00	0.00	0.00	0.00
"ENSG00000230683_DDTP1"	0.00	0.00	0.00	0.00
"ENSG00000230684_AL158207.2"	0.00	0.00	0.00	0.00
"ENSG00000230686_AC067945.2"	0.00	0.00	0.00	0.00
"ENSG00000230687_AL008626.1"	0.00	0.00	0.00	0.00
"ENSG00000230690_AC013402.1"	0.00	0.00	0.00	0.00
"ENSG00000230691_MRPL35P4"	0.00	0.00	0.00	0.00
"ENSG00000230694_AL450003.1"	0.00	0.00	0.00	0.00
"ENSG00000230695_AC012462.3"	0.00	0.00	0.00	0.00
"ENSG00000230696_AC011753.2"	0.00	0.00	0.00	0.00
"ENSG00000230697_SAP18P3"	0.00	0.00	0.00	0.00
"ENSG00000230698_AC105935.2"	1.00	0.00	0.00	1.00
"ENSG00000230699_AL645608.3"	0.00	1.00	0.00	0.00
"ENSG00000230701_FBXW4P1"	2.00	4.00	3.00	6.00
"ENSG00000230702_AC107081.1"	0.00	0.00	1.00	0.00
"ENSG00000230703_AL591178.2"	0.00	0.00	0.00	0.00
"ENSG00000230704_AL021940.1"	0.00	0.00	0.00	0.00
"ENSG00000230706_AL035246.1"	0.00	0.00	0.00	0.00
"ENSG00000230707_AL589987.1"	0.00	0.00	0.00	0.00
"ENSG00000230709_AC104024.1"	0.00	0.00	0.00	0.00
"ENSG00000230710_LINC00332"	0.00	0.00	0.00	0.00
"ENSG00000230711_CTAGE13P"	0.00	1.00	0.00	1.00
"ENSG00000230712_GGTLC4P"	0.00	0.00	0.00	0.00
"ENSG00000230714_AL355526.1"	0.00	0.00	0.00	0.00
"ENSG00000230715_AC018638.2"	22.44	10.00	15.00	15.37
"ENSG00000230716_KRT8P7"	0.00	0.00	0.00	0.00
"ENSG00000230718_AC114878.1"	0.00	0.00	0.00	0.00
"ENSG00000230720_AL451107.1"	0.00	0.00	0.00	0.00
"ENSG00000230721_AL049597.1"	0.00	0.00	0.00	0.00
"ENSG00000230724_LINC01001"	27.16	33.38	28.15	24.23
"ENSG00000230725_AL035252.2"	0.00	1.00	0.00	0.00
"ENSG00000230727_RBMY2WP"	0.00	0.00	0.00	0.00
"ENSG00000230728_AL590093.1"	0.00	0.00	0.00	0.00
"ENSG00000230729_AL160270.1"	0.00	1.00	0.00	0.00
"ENSG00000230730_AC074011.1"	0.00	0.00	0.00	0.00
"ENSG00000230731_AL589745.1"	0.00	0.00	0.00	0.00
"ENSG00000230732_AC016949.1"	0.00	0.00	1.00	0.00
"ENSG00000230733_AC092171.2"	178.00	108.00	118.00	182.00
"ENSG00000230734_RPL10P3"	0.00	0.00	0.00	0.00
"ENSG00000230735_AC093423.2"	0.00	0.00	0.00	0.00
"ENSG00000230736_AL021937.1"	3.00	1.00	1.00	2.00
"ENSG00000230737_AC106870.2"	0.00	0.00	0.00	0.00
"ENSG00000230739_AL392003.2"	0.00	0.00	0.00	0.00
"ENSG00000230741_Z82173.1"	0.00	0.00	0.00	0.00
"ENSG00000230746_AC006007.1"	0.00	0.00	0.00	0.00
"ENSG00000230747_AC021188.1"	2.00	1.00	2.00	0.00
"ENSG00000230748_AL157714.1"	0.00	0.00	0.00	0.00
"ENSG00000230749_MEIS1-AS2"	4.00	3.00	0.00	3.00
"ENSG00000230750_SDAD1P2"	0.00	0.00	0.00	0.00
"ENSG00000230751_AC007036.2"	0.00	0.00	0.00	0.00
"ENSG00000230753_ZNF341-AS1"	9.00	3.00	6.00	4.00
"ENSG00000230755_MTATP6P23"	0.00	0.00	0.00	0.00
"ENSG00000230756_RHOQP3"	1.26	0.65	4.70	0.00
"ENSG00000230757_NFU1P1"	0.00	0.00	0.00	0.00
"ENSG00000230758_SNAP23P1"	0.00	0.00	0.00	0.00
"ENSG00000230759_AC095032.2"	0.00	0.00	0.00	0.00
"ENSG00000230764_MTND1P4"	0.00	0.00	0.00	0.00
"ENSG00000230768_LINC01676"	0.00	0.00	0.00	0.00
"ENSG00000230769_Z98048.1"	1.00	0.00	0.00	0.00
"ENSG00000230772_VN1R108P"	0.00	1.00	1.00	2.00
"ENSG00000230773_AC092650.1"	0.00	0.00	0.00	0.00
"ENSG00000230777_RPS29P5"	0.00	0.00	0.00	0.00
"ENSG00000230778_ANKRD63"	0.00	3.00	0.00	0.00
"ENSG00000230779_AL161636.2"	0.00	0.00	0.00	0.00
"ENSG00000230781_Z83820.1"	0.00	0.00	0.00	0.00
"ENSG00000230782_AL807761.4"	0.00	0.00	0.00	0.00
"ENSG00000230783_AC009961.3"	0.00	0.00	0.00	0.00
"ENSG00000230785_AC006326.1"	0.00	0.00	0.00	0.00
"ENSG00000230787_PSAT1P3"	1.00	0.00	0.00	0.00
"ENSG00000230788_AL512661.1"	0.00	0.00	0.00	0.00
"ENSG00000230789_ARHGAP26-IT1"	0.00	0.00	0.00	0.00
"ENSG00000230790_AC012456.2"	0.00	0.00	0.00	0.00
"ENSG00000230793_SMARCE1P5"	0.00	0.00	0.00	0.00
"ENSG00000230794_AF015720.1"	0.00	0.00	0.00	0.00
